county_fips_code,the_number_of_providers,the_average_supply_level,social_vulnerability_index_svi,cvac_level_of_concern_for_vaccination_rollout,percent_adults_fully_vaccinated_against_covid_19_as_of_6_10_21,estimated_hesitant,estimated_hesitant_or_unsure,estimated_strongly_hesitant,masks_order_code,completeness_pct,metro_status,series_complete_pop_pct,series_complete_yes,series_complete_pop_pct_svi,series_complete_pop_pct_ur_equity,general_gb_order_code,general_gb_order_group,general_or_under_6ft_bans_gatherings_over,stay_at_home_order_code,community_transmission_level,avg_asthma,avg_chd,avg_checkup,avg_copd,avg_smoking,avg_depression,avg_diabetes,avg_ghlth,avg_lpa,avg_mhlth,avg_obesity,avg_sleep
1530,33,0.030303030303030304,0.57,0.78,0.421,450,515,0.1089,2,96.4,1,36.6,6622.0,10.0,6.0,0,4,7,2,2,9.72,9.0,78.18,10.82,22.12,25.18,13.12,23.24,30.3,15.6,34.86,34.32
1531,8,0.625,0.03,0.07,0.469,481,477,0.0988,2,95.3,1,37.9,840.0,2.0,6.0,0,4,7,2,1,8.5,8.0,74.0,7.2,16.5,16.4,11.0,16.6,30.4,10.4,34.2,29.8
1532,25,0.2,0.12,0.1,0.54,450,435,0.0963,2,95.3,1,44.5,4633.0,3.0,7.0,0,4,7,2,2,8.65,7.15,72.7,6.775,16.8,16.95,10.475,15.875,28.95,10.975,37.65,31.15
1533,17,0.47058823529411764,0.84,0.76,0.388,450,435,0.0963,2,95.3,1,25.6,1749.0,13.0,5.0,0,4,7,2,1,10.55,9.2,72.3,9.475,26.275,18.3,14.075,25.025,37.475,15.425,40.225,38.6
1534,22,0.18181818181818182,0.07,0.14,0.486,450,435,0.0963,2,95.3,1,38.6,2423.0,2.0,6.0,0,4,7,2,0,8.633333333333333,7.733333333333333,74.13333333333334,7.033333333333333,16.833333333333332,17.1,10.7,16.6,30.966666666666665,10.8,34.3,32.7
1535,8,-0.125,0.18,0.07,0.367,481,477,0.0988,2,95.3,1,27.9,843.0,1.0,5.0,0,4,7,2,1,8.55,7.5,73.35,7.0,16.85,16.1,10.25,16.7,29.65,10.6,35.75,30.85
1536,9,-0.1111111111111111,0.01,0.08,0.378,481,477,0.0988,2,95.3,1,28.5,603.0,1.0,5.0,0,4,7,2,1,8.4,7.5,73.7,7.0,16.6,16.1,11.0,16.4,31.0,10.4,39.0,31.3
1537,196,0.37755102040816324,0.17,0.05,0.444,354,303,0.0835,2,95.3,0,34.7,33164.0,2.0,2.0,0,4,7,2,3,8.384210526315789,5.473684210526316,69.90526315789474,5.489473684210527,16.710526315789473,18.173684210526314,8.068421052631578,13.973684210526315,26.01578947368421,11.205263157894736,32.17368421052632,31.821052631578947
1538,241,0.43568464730290457,0.14,0.09,0.545,362,354,0.0846,2,95.3,0,43.4,78933.0,3.0,3.0,0,4,7,2,2,8.596969696969698,4.7272727272727275,70.82424242424243,4.924242424242424,16.918181818181818,19.73939393939394,7.545454545454546,12.866666666666667,23.09090909090909,12.181818181818182,33.4,31.24848484848485
1539,8,0.25,0.02,0.1,0.597,330,311,0.081,2,95.3,1,46.8,1762.0,3.0,7.0,0,4,7,2,1,8.3,8.55,74.7,7.6,16.45,16.4,11.8,17.15,29.9,10.35,35.2,27.3
1540,23,0.13043478260869565,0.12,0.05,0.524,450,435,0.0963,2,95.3,1,40.6,1977.0,3.0,7.0,0,4,7,2,1,8.433333333333334,7.033333333333333,73.6,6.333333333333333,15.266666666666667,16.666666666666668,9.766666666666667,15.4,26.5,10.366666666666667,33.166666666666664,30.9
1541,12,0.0,0.03,0.07,0.404,481,477,0.0988,2,95.3,1,31.2,706.0,2.0,6.0,0,4,7,2,1,8.6,9.3,75.4,8.4,17.6,16.6,12.6,19.1,32.8,10.9,37.0,30.3
1542,11,0.09090909090909091,0.22,0.26,0.216,481,477,0.0988,2,95.3,1,16.3,720.0,1.0,5.0,0,4,7,2,3,9.0,7.0,71.9,6.7,17.9,16.8,10.5,16.9,31.4,11.2,38.1,32.2
1543,11,-0.18181818181818182,0.29,0.27,0.524,450,435,0.0963,2,95.3,1,40.4,924.0,7.0,7.0,0,4,7,2,1,8.5,8.8,75.2,7.8,16.8,16.8,11.8,18.4,33.6,10.7,34.6,30.2
1544,11,0.6363636363636364,0.1,0.07,0.308,354,303,0.0835,2,95.3,1,24.9,806.0,1.0,5.0,0,4,7,2,3,8.5,9.6,76.4,8.5,17.1,16.3,12.8,19.6,34.6,10.6,36.6,29.7
1545,19,0.05263157894736842,0.02,0.12,0.516,450,435,0.0963,2,95.3,1,41.1,1318.0,3.0,7.0,0,4,7,2,1,8.5,7.8,73.8,7.1,16.1,16.0,10.6,16.4,29.6,10.4,35.2,30.3
1546,102,0.4117647058823529,0.3,0.12,0.517,330,311,0.081,2,95.3,0,41.6,28902.0,7.0,3.0,0,4,7,2,2,9.122222222222222,4.95,70.11111111111111,5.333333333333333,15.683333333333334,19.616666666666667,7.777777777777778,14.38888888888889,25.594444444444445,13.155555555555555,33.56666666666667,30.733333333333334
1547,12,-0.08333333333333333,0.07,0.08,0.168,481,477,0.0988,2,95.3,1,13.8,313.0,1.0,5.0,0,4,7,2,1,8.8,9.9,75.6,9.0,18.3,16.8,13.5,20.4,34.9,11.1,38.7,29.7
1548,9,0.2222222222222222,0.07,0.02,0.48,330,311,0.081,2,95.3,1,38.0,848.0,2.0,6.0,0,4,7,2,1,8.6,9.1,75.5,8.0,16.2,16.4,12.1,18.6,31.9,10.2,36.9,29.3
1549,7,0.14285714285714285,0.06,0.07,0.391,481,477,0.0988,2,95.3,1,29.4,735.0,1.0,5.0,0,4,7,2,1,9.1,9.2,75.1,8.55,18.7,17.25,12.4,19.35,33.7,11.4,37.55,29.85
1550,4,0.5,0.03,0.19,0.299,354,303,0.0835,2,95.3,1,23.9,593.0,1.0,5.0,0,4,7,2,3,8.9,8.7,72.9,8.3,19.0,17.4,11.9,19.7,36.7,12.0,40.0,32.7
1551,13,0.07692307692307693,0.04,0.08,0.479,450,435,0.0963,2,95.3,1,38.0,1539.0,2.0,6.0,0,4,7,2,1,8.7,9.0,74.35,8.25,17.6,16.85,11.85,18.7,33.15,10.85,38.15,30.05
1552,17,0.0,0.03,0.15,0.401,481,477,0.0988,2,95.3,1,31.0,1783.0,2.0,6.0,0,4,7,2,3,8.25,7.5,73.25,6.9,17.5,16.95,10.6,16.3,31.85,10.8,36.0,31.0
1553,15,0.13333333333333333,0.11,0.11,0.388,354,303,0.0835,2,95.3,1,31.7,792.0,2.0,6.0,0,4,7,2,0,8.7,10.6,76.5,9.4,16.9,15.7,13.8,21.3,34.9,10.6,36.6,28.7
1554,25,0.16,0.39,0.28,0.193,481,477,0.0988,2,95.3,1,13.4,2020.0,5.0,5.0,0,4,7,2,3,9.6,7.075,68.875,7.325,22.625,17.9,11.275,19.425,31.225,13.6,41.6,34.725
1555,38,-0.05263157894736842,0.08,0.04,0.422,481,477,0.0988,2,95.3,1,33.2,3135.0,2.0,6.0,0,4,7,2,2,8.75,7.7,74.45,7.25,17.7,16.95,11.05,17.25,30.5,10.6,38.4,31.65
1556,10,-0.1,0.1,0.16,0.377,481,477,0.0988,2,95.3,1,29.1,2384.0,1.0,5.0,0,4,7,2,2,8.666666666666666,6.733333333333333,72.43333333333334,6.6,18.3,16.766666666666666,9.733333333333333,16.333333333333332,31.0,11.066666666666666,36.53333333333333,30.9
1557,43,0.3023255813953488,0.1,0.11,0.39,354,303,0.0835,2,95.3,0,30.4,9544.0,2.0,2.0,0,4,7,2,2,8.6,6.2,71.72,6.08,17.82,17.54,9.5,15.22,28.32,11.3,35.7,29.38
1558,31,0.0967741935483871,0.38,0.34,0.351,481,477,0.0988,2,95.3,1,25.7,2714.0,5.0,5.0,0,4,7,2,2,9.766666666666667,6.8,69.36666666666666,6.866666666666667,22.933333333333334,18.1,11.133333333333333,19.233333333333334,31.766666666666666,13.266666666666667,43.63333333333333,35.666666666666664
1559,9,0.3333333333333333,0.04,0.06,0.679,450,435,0.0963,2,95.3,1,55.3,1591.0,4.0,8.0,0,4,7,2,1,8.5,9.0,75.4,7.9,16.6,16.0,12.2,17.5,30.1,10.1,37.5,29.8
1560,5,-0.2,0.21,0.17,0.255,481,477,0.0988,2,95.3,0,19.3,378.0,1.0,1.0,0,4,7,2,1,8.6,7.1,73.0,7.0,17.6,16.6,10.5,16.6,29.7,10.8,38.2,32.2
1561,20,0.4,0.04,0.22,0.499,330,311,0.081,2,95.3,1,40.1,2729.0,3.0,7.0,0,4,7,2,1,8.48,7.56,73.08,6.9,17.54,16.6,10.44,16.52,29.58,10.88,37.76,32.04
1562,16,0.125,0.19,0.09,0.443,450,435,0.0963,2,95.3,1,34.6,1376.0,2.0,6.0,0,4,7,2,2,8.95,8.65,73.7,8.1,18.7,16.3,11.65,19.05,32.85,11.5,40.6,30.85
1563,29,0.6551724137931034,0.35,0.27,0.543,450,435,0.0963,2,95.3,1,42.1,4850.0,7.0,7.0,0,4,7,2,2,8.666666666666666,7.0,73.23333333333333,6.633333333333333,16.633333333333333,17.2,9.866666666666667,16.266666666666666,29.333333333333332,11.133333333333333,37.4,31.133333333333333
1564,33,0.21212121212121213,0.09,0.07,0.578,450,435,0.0963,2,95.3,1,45.6,2381.0,3.0,7.0,0,4,7,2,2,8.433333333333334,7.6,72.9,7.3,17.766666666666666,16.5,10.8,17.2,31.533333333333335,10.933333333333334,35.53333333333333,31.133333333333333
1565,6,0.16666666666666666,0.03,0.06,0.349,481,477,0.0988,2,95.3,1,27.3,635.0,1.0,5.0,0,4,7,2,2,8.4,7.2,73.7,6.7,16.6,16.6,10.1,15.7,29.5,10.7,39.7,31.5
1566,41,0.2682926829268293,0.12,0.18,0.493,450,435,0.0963,2,95.3,1,39.0,6317.0,2.0,6.0,0,4,7,2,2,8.65,6.483333333333333,69.55,6.433333333333334,16.65,16.866666666666667,9.3,15.766666666666667,28.4,11.633333333333333,34.18333333333333,32.03333333333333
1567,20,-0.05,0.91,0.65,0.617,450,435,0.0963,2,95.3,1,42.8,6068.0,15.0,7.0,0,4,7,2,1,11.375,8.875,71.925,9.325,28.725,19.675,15.0,26.575,36.9,15.925,46.475,36.275
1568,9,0.1111111111111111,0.02,0.17,0.587,450,435,0.0963,2,95.3,1,46.6,1815.0,3.0,7.0,0,4,7,2,2,8.25,6.9,72.65,6.6,17.35,16.45,9.9,15.75,30.25,10.55,36.45,30.55
1569,11,-0.18181818181818182,0.07,0.09,0.357,450,435,0.0963,2,95.3,1,29.4,387.0,1.0,5.0,0,4,7,2,1,8.9,10.0,76.3,9.3,18.6,16.6,13.6,21.0,35.3,11.2,37.4,31.8
1570,53,0.3018867924528302,0.21,0.16,0.332,481,477,0.0988,2,95.3,1,24.5,7715.0,1.0,5.0,0,4,7,2,2,8.7375,6.4625,71.1375,6.25,18.4125,17.775,9.025,15.8375,29.725,11.7625,36.6,31.5375
1571,6,0.0,0.0,0.11,0.456,330,311,0.081,2,95.3,1,36.2,684.0,2.0,6.0,0,4,7,2,1,8.1,7.2,73.8,6.3,14.6,15.9,10.2,14.5,27.1,9.6,35.5,29.4
1572,35,0.8,0.24,0.18,0.47,450,435,0.0963,2,95.3,1,38.6,7994.0,2.0,6.0,0,4,7,2,1,8.783333333333333,6.783333333333333,72.56666666666666,6.633333333333333,18.366666666666667,17.066666666666666,9.7,16.233333333333334,32.96666666666667,11.283333333333333,34.93333333333333,29.966666666666665
1573,12,0.25,0.19,0.25,0.454,330,311,0.081,2,95.3,1,36.2,792.0,2.0,6.0,0,4,7,2,1,8.7,9.0,74.7,8.4,18.4,16.7,12.5,19.2,33.6,11.1,37.8,31.4
1574,24,0.20833333333333334,0.09,0.08,0.487,330,311,0.081,2,95.3,1,38.3,3081.0,2.0,6.0,0,4,7,2,2,8.4,6.6,72.05,6.05,15.575,16.725,9.3,14.675,27.875,10.525,37.8,30.075
1575,39,0.2564102564102564,0.37,0.24,0.52,330,311,0.081,2,95.3,1,40.6,4319.0,7.0,7.0,0,4,7,2,1,8.933333333333334,8.166666666666666,71.9,7.883333333333333,18.0,17.116666666666667,11.416666666666666,19.6,33.56666666666667,11.7,39.06666666666667,32.81666666666667
1576,112,0.25892857142857145,0.17,0.08,0.404,481,477,0.0988,2,95.3,1,30.9,20919.0,2.0,6.0,0,4,7,2,3,8.569230769230769,5.1923076923076925,70.4,5.269230769230769,17.43076923076923,17.592307692307692,8.307692307692308,13.930769230769231,27.115384615384617,11.5,36.65384615384615,33.33846153846154
1577,18,0.1111111111111111,0.06,0.02,0.417,450,435,0.0963,2,95.3,1,33.5,1283.0,2.0,6.0,0,4,7,2,1,8.45,9.05,75.15,8.05,15.9,16.0,11.75,18.35,31.8,10.2,35.85,29.75
